iter	Passed	Remaining
0	1	1074
1	1	902
2	2	905
3	3	914
4	5	1036
5	5	935
6	6	889
7	6	851
8	7	830
9	8	796
10	8	778
11	9	755
12	9	721
13	9	703
14	10	687
15	10	664
16	11	653
17	12	660
18	12	653
19	13	646
20	13	633
21	13	622
22	14	611
23	14	608
24	15	599
25	15	589
26	16	584
27	17	591
28	17	592
29	18	589
30	18	585
31	19	576
32	19	573
33	20	569
34	20	567
35	21	566
36	21	563
37	22	558
38	23	581
39	24	589
40	25	588
41	25	585
42	26	581
43	26	582
44	27	582
45	28	583
46	29	598
47	30	613
48	31	613
49	32	611
50	33	618
51	34	621
52	34	622
53	35	621
54	36	624
55	36	622
56	37	618
57	37	615
58	38	612
59	38	607
60	39	602
61	39	596
62	39	593
63	40	590
64	40	589
65	41	591
66	42	594
67	43	594
68	43	591
69	44	589
70	44	585
71	45	581
72	45	577
73	45	574
74	46	571
75	46	569
76	47	564
77	47	562
78	48	563
79	48	562
80	49	560
81	49	558
82	51	567
83	52	577
84	55	596
85	56	605
86	58	609
87	58	610
88	59	607
89	59	603
90	60	600
91	60	598
92	61	595
93	61	594
94	62	591
95	62	588
96	62	585
97	63	584
98	63	582
99	64	580
100	64	576
101	65	575
102	66	575
103	66	574
104	68	580
105	68	580
106	69	582
107	70	581
108	70	579
109	71	576
110	71	574
111	72	571
112	72	569
113	72	566
114	73	567
115	74	565
116	74	564
117	75	563
118	75	561
119	76	559
120	76	557
121	77	556
122	77	554
123	78	552
124	78	551
125	81	564
126	83	572
127	83	570
128	84	568
129	84	566
130	85	564
131	85	562
132	86	563
133	86	561
134	87	560
135	87	558
136	88	557
137	88	555
138	89	552
139	89	551
140	90	549
141	90	547
142	91	546
143	91	544
144	91	542
145	92	540
146	92	539
147	93	539
148	94	537
149	95	538
150	95	538
151	96	537
152	96	535
153	97	536
154	98	537
155	99	538
156	100	537
157	100	535
158	100	533
159	101	531
160	101	530
161	102	528
162	102	527
163	103	525
164	103	523
165	103	522
166	104	521
167	104	519
168	105	519
169	106	519
170	108	526
171	109	529
172	110	527
173	110	526
174	111	525
175	112	524
176	112	522
177	112	521
178	113	519
179	113	518
180	114	517
181	114	515
182	115	514
183	115	513
184	116	511
185	116	510
186	117	509
187	117	508
188	118	507
189	118	506
190	119	506
191	120	507
192	121	508
193	122	507
194	122	505
195	123	504
196	123	503
197	124	502
198	124	500
199	124	499
200	125	498
201	125	497
202	126	497
203	127	496
204	128	496
205	128	495
206	129	494
207	129	493
208	129	491
209	130	491
210	131	491
211	132	492
212	133	494
213	134	493
214	134	491
215	135	490
216	135	489
217	136	488
218	136	486
219	137	485
220	137	484
221	137	483
222	138	482
223	138	481
224	139	480
225	139	478
226	140	477
227	140	476
228	141	474
229	141	473
230	142	472
231	142	471
232	142	469
233	143	468
234	143	467
235	144	467
236	145	467
237	146	469
238	147	469
239	147	468
240	148	467
241	148	466
242	149	465
243	149	464
244	150	462
245	150	461
246	151	460
247	151	459
248	151	458
249	152	457
250	152	456
251	153	455
252	154	455
253	154	454
254	155	454
255	155	453
256	157	454
257	157	454
258	158	454
259	159	454
260	160	453
261	160	452
262	161	451
263	161	450
264	161	449
265	162	448
266	162	447
267	163	446
268	163	445
269	164	444
270	164	443
271	166	445
272	167	447
273	168	447
274	171	452
275	173	454
276	175	458
277	176	457
278	177	459
279	178	458
280	179	460
281	181	462
282	183	463
283	184	464
284	185	466
285	187	468
286	188	468
287	189	467
288	189	466
289	190	467
290	191	466
291	192	467
292	194	469
293	195	470
294	197	472
295	198	471
296	198	470
297	199	470
298	200	469
299	200	468
300	201	467
301	201	466
302	202	465
303	203	464
304	203	464
305	204	463
306	204	462
307	205	461
308	205	460
309	206	459
310	206	458
311	207	457
312	207	455
313	208	454
314	208	453
315	209	452
316	210	452
317	210	451
318	212	452
